index,Balance_ID,History_ID,Date,Money_Flow,Source,Source_Seq_No,Transaction_Amount,Balance,Unnamed: 0
71.0,28079,162377,03-06-2020 12:30,24.0,qitaf1,1,24.0,24.0,
72.0,28080,135515,11/29/2019 19:23,81.0,qitaf1,1,81.0,81.0,
73.0,28080,135516,11/29/2019 19:32,-81.0,qitaf1,1,-81.0,0.0,
74.0,28080,135534,11/29/2019 20:30,81.0,qitaf1,1,81.0,81.0,
75.0,28080,135815,11/30/2019 16:21,-81.0,qitaf1,1,-81.0,0.0,
76.0,28080,135817,11/30/2019 16:25,250.0,PAYED/CANCELLED1,2,250.0,250.0,
77.0,28080,135818,11/30/2019 19:25,-250.0,PAYED/CANCELLED1,2,-250.0,0.0,
78.0,28080,135942,11/30/2019 22:02,331.0,OtherSource1,3,331.0,331.0,
79.0,28080,136041,12-01-2019 02:03,-331.0,OtherSource1,3,-331.0,0.0,
80.0,28080,136042,12-01-2019 02:05,331.0,OtherSource1,3,331.0,331.0,
81.0,28080,136044,12-01-2019 02:13,-331.0,OtherSource1,3,-331.0,0.0,
82.0,28080,136053,12-01-2019 06:01,331.0,OtherSource1,3,331.0,331.0,
83.0,28080,136955,12-04-2019 03:31,-331.0,OtherSource1,3,-331.0,0.0,
84.0,28080,136965,12-04-2019 07:30,331.0,OtherSource1,3,331.0,331.0,
85.0,28080,136986,12-04-2019 11:02,-331.0,OtherSource1,3,-331.0,0.0,
86.0,28080,136987,12-04-2019 11:05,250.0,PAYED/CANCELLED2,4,250.0,250.0,
87.0,28080,136988,12-04-2019 14:05,-250.0,PAYED/CANCELLED2,4,-250.0,0.0,
88.0,28080,144619,12/31/2019 21:12,331.0,alrajhi3,5,331.0,331.0,
89.0,28080,144620,12/31/2019 21:12,250.0,nan3,6,250.0,581.0,
90.0,28080,144620,12/31/2019 21:12,250.0,nan4,7,250.0,831.0,
91.0,28080,144621,12/31/2019 21:12,250.0,nan5,8,250.0,1081.0,
92.0,28080,144621,12/31/2019 21:12,250.0,nan6,9,250.0,1331.0,
93.0,28080,144622,12/31/2019 21:12,81.0,alrajhi4,10,81.0,1412.0,
94.0,28080,144623,12/31/2019 21:12,-250.0,alrajhi3,5,-250.0,1162.0,
95.0,28080,144624,12/31/2019 21:13,-250.0,alrajhi3,5,-81.0,1081.0,
96.0,28080,144624,12/31/2019 21:13,-250.0,nan3,6,-169.0,912.0,
97.0,28080,144625,12/31/2019 21:13,250.0,alrajhi5,11,250.0,1162.0,
98.0,28080,144626,12/31/2019 21:13,250.0,alrajhi6,12,250.0,1412.0,
99.0,28080,144627,12/31/2019 21:13,-81.0,nan3,6,-81.0,1331.0,
100.0,28080,144628,12/31/2019 21:13,-250.0,nan4,7,-250.0,1081.0,
101.0,28080,144629,12/31/2019 21:13,-250.0,nan5,8,-250.0,831.0,
102.0,28080,144630,12/31/2019 21:13,-331.0,nan6,9,-250.0,581.0,
103.0,28080,144630,12/31/2019 21:13,-331.0,alrajhi4,10,-81.0,500.0,
,28070,135444,11/29/2019 12:21,90.0,qitaf1,1,90.0,90.0,0.0
,28070,135445,11/29/2019 12:27,-90.0,qitaf1,1,-90.0,0.0,1.0
,28070,135448,11/29/2019 12:54,90.0,qitaf1,1,90.0,90.0,2.0
,28070,135450,11/29/2019 13:03,-90.0,qitaf1,1,-90.0,0.0,3.0
,28070,135461,11/29/2019 14:00,90.0,qitaf1,1,90.0,90.0,4.0
,28070,138246,12-09-2019 19:41,-89.0,qitaf1,1,-89.0,1.0,5.0
,28070,707132,1/17/2021 2:37,-1.0,qitaf1,1,-1.0,0.0,6.0
,28070,707139,1/17/2021 2:45,89.5,e-gifts1,2,89.5,89.5,7.0
,28070,707140,1/17/2021 2:45,-89.5,e-gifts1,2,-89.5,0.0,8.0
,28070,707158,1/17/2021 3:01,89.5,e-gifts1,2,89.5,89.5,9.0
,28070,707159,1/17/2021 3:01,-89.5,e-gifts1,2,-89.5,0.0,10.0
,28070,707212,1/17/2021 4:02,1.0,qitaf1,1,1.0,1.0,11.0
,28070,1036261,03-07-2022 13:45,-1.0,qitaf1,1,-1.0,0.0,12.0
,28070,1036280,03-07-2022 14:50,1.0,qitaf1,1,1.0,1.0,13.0
,28070,1036605,03-08-2022 16:09,-1.0,qitaf1,1,-1.0,0.0,14.0
,28070,1036642,03-08-2022 17:10,1.0,qitaf1,1,1.0,1.0,15.0
,28070,1048763,3/27/2022 22:08,-1.0,qitaf1,1,-1.0,0.0,16.0
,28070,1048764,3/27/2022 22:08,1.0,qitaf1,1,1.0,1.0,17.0
,28070,1048765,3/27/2022 22:08,-1.0,qitaf1,1,-1.0,0.0,18.0
,28070,1048766,3/27/2022 22:09,77.5,emkan1,3,77.5,77.5,19.0
,28070,1048767,3/27/2022 22:09,-77.5,emkan1,3,-77.5,0.0,20.0
,28070,1388870,4/16/2023 0:45,85.7,qitaf2,4,85.7,85.7,21.0
,28070,1388871,4/16/2023 0:45,-85.7,qitaf2,4,-85.7,0.0,22.0
,28071,135449,11/29/2019 12:55,19.0,qitaf1,1,19.0,19.0,23.0
,28071,135495,11/29/2019 17:26,-19.0,qitaf1,1,-19.0,0.0,24.0
,28072,135478,11/29/2019 16:20,300.0,PAYED/CANCELLED1,1,300.0,300.0,25.0
,28072,135479,11/29/2019 19:20,-300.0,PAYED/CANCELLED1,1,-300.0,0.0,26.0
,28072,144615,12/31/2019 21:12,300.0,nan2,2,300.0,300.0,27.0
,28072,144615,12/31/2019 21:12,300.0,nan3,3,300.0,600.0,28.0
,28072,144616,12/31/2019 21:12,-300.0,nan2,2,-300.0,300.0,29.0
,28072,144617,12/31/2019 21:12,300.0,mktpromo1,4,300.0,600.0,30.0
,28072,144618,12/31/2019 21:12,-300.0,nan3,3,-300.0,300.0,31.0
,28073,135485,11/29/2019 16:51,38.0,qitaf1,1,38.0,38.0,32.0
,28073,135488,11/29/2019 17:04,-38.0,qitaf1,1,-38.0,0.0,33.0
,28073,135489,11/29/2019 17:05,37.0,qitaf2,2,37.0,37.0,34.0
