balance_id,history_id,updated_at,balance_delta,balance_amount,additional_info,payment_source,payment_type,reference_number
28077,735152,2/7/2021 17:53,295,295,Qitaf Points Redemption -C3AE08FB-AF21-552A-5339-CE727FAAE070,qitaf,,C3AE08FB-AF21-552A-5339-CE727FAAE070
28077,735154,2/7/2021 17:53,-295,0,Order #11348204,Order,Pay,11348204
28077,792291,4/11/2021 11:40,30,30,Qitaf Points Redemption -528192E0-64D6-8C4D-5108-30EF7D560D24,qitaf,,528192E0-64D6-8C4D-5108-30EF7D560D24
28077,792292,4/11/2021 11:40,-30,0,رقم الطلب #26433164,Order,Pay,26433164
28077,1144315,8/23/2022 10:55,109,109,Qitaf points redeemed for order #2000379716,qitaf,Pay,9D5CAC5D-F80B-E1D5-56BA-4315F49976E2
28077,1144316,8/23/2022 10:55,-109,0,Order #2000379716,Order,Pay,2000379716
28078,135507,11/29/2019 18:21,1329,1329,add the amount of order 10504117,Order,Cancel,10504117
28078,135508,11/29/2019 21:21,-1329,0,Order #10504890,Order,Pay,10504890
28078,135614,11/29/2019 23:13,1329,1329,add the amount of order 10504124,Order,Cancel,10504124
28078,135615,11/30/2019 2:13,-1329,0,Order #10505370,Order,Pay,10505370
28079,135509,11/29/2019 18:30,62,62,Qitaf Points Redemption -09EEBCF1-9C3F-21EF-00DD-455551928408,qitaf,,09EEBCF1-9C3F-21EF-00DD-455551928408
28079,135512,11/29/2019 18:39,-38,24,رقم الطلب #22013109,Order,Pay,22013109
28079,151393,1/22/2020 3:37,-24,0,رقم الطلب #22204817,Order,Pay,22204817
28079,151407,1/22/2020 4:30,24,24,System Credit due to #22204817 order cancellation.,Order,Cancel,22204817
28079,162369,3/6/2020 11:33,-24,0,رقم الطلب #22334784,Order,Pay,22334784
28079,162377,3/6/2020 12:30,24,24,System Credit due to #22334784 order cancellation.,Order,Cancel,22334784
28080,135515,11/29/2019 19:23,81,81,Qitaf Points Redemption -54D3577B-26BE-4BC4-CAA1-D604CB677100,qitaf,,54D3577B-26BE-4BC4-CAA1-D604CB677100
28080,135516,11/29/2019 19:32,-81,0,رقم الطلب #22013521,Order,Pay,22013521
28080,135534,11/29/2019 20:30,81,81,System Credit due to #22013521 order cancellation.,Order,Cancel,22013521
28080,135815,11/30/2019 16:21,-81,0,Alrajhi Coupon SR250#2746229417,ALRAJHI,,2746229417
28080,135817,11/30/2019 16:25,250,250,,Order,Pay,22019823
28080,135818,11/30/2019 19:25,-250,0,order #22019823 .,,,
28080,135942,11/30/2019 22:02,331,331,System Credit due to #22019823 order cancellation.,Order,Cancel,22019823
28080,136041,12/1/2019 2:03,-331,0,رقم الطلب #22023509,Order,Pay,22023509
28080,136042,12/1/2019 2:05,331,331,System Credit due to #22023509 order cancellation.,Order,Cancel,22023509
28080,136044,12/1/2019 2:13,-331,0,رقم الطلب #22023546,Order,Pay,22023546
28080,136053,12/1/2019 6:01,331,331,System Credit due to #22023546 order cancellation.,Order,Cancel,22023546
28080,136955,12/4/2019 3:31,-331,0,رقم الطلب #22036021,Order,Pay,22036021
28080,136965,12/4/2019 7:30,331,331,System Credit due to #22036021 order cancellation.,Order,Cancel,22036021
28080,136986,12/4/2019 11:02,-331,0,Alrajhi Coupon SR250#0211789446,ALRAJHI,,211789446
28080,136987,12/4/2019 11:05,250,250,,Order,Pay,22036429
28080,136988,12/4/2019 14:05,-250,0,order #22036429 .,,,
28080,144619,12/31/2019 21:12,331,331,Reverse of Original Transaction ID 136986,ALRAJHI,,211789446
28080,144620,12/31/2019 21:12,250,581,Reverse of Original Transaction ID 135818,,,
28080,144620,12/31/2019 21:12,250,581,Reverse of Original Transaction ID 135818,,,
